cím:	műfaj:	év:

A majmok bolygója: A birodalom	Akció	2024
A kaszkadőr	Akció	2024
Polgárháború	Háborús 2024
Godzilla x Kong: Az új birodalom	Akció	2024
Szellemirtók: A borzongás birodalma	Fantasy	2024


Imádlak utálni	Romantikus	2023
Aquaman és az Elveszett királyság	Akció	2023
Napóleon	Dráma	2023
Hullaadás	Horror	2023
Kívánság	Animációs	2023


Avatar: A víz útja	Akció	2022
Babylon	Dráma	2022
Fekete Párduc 2.	Akció	2022
Démoni fény	Horror	2022
Nyugaton a helyzet változatlan	Háborús	2022


King’s Man – A kezdetek	Akció	2021
Mátrix – Feltámadások	Akció	2021
Fortress	Bűnügyi	2021
Pókember: Nincs hazaút	Sci-Fi	2021
A Kaptár: Raccoon City visszavár	Horror	2021


Vadászvadász	Horror	2020
Vadászvadász	Thriller	2020
What Lies Below	Horror	2020
What Lies Below	Thriller	2020
Hogyan lettem szuperhős	Kaland	2020
Hogyan lettem szuperhős	Thriller	2020
Hívás a múltból	Rejtély	2020
Hívás a múltból	Sci-Fi	2020


Az átok háza	Rejtély	2019
Az átok háza	Horror	2019
Elszabadult fenevadak	Akció	2019
Elszabadult fenevadak	Kaland	2019
Elszabadult fenevadak	Thriller	2019
Hajsza élő adásban	Akció	2019
Hajsza élő adásban	Bűnügyi	2019
Hajsza élő adásban	Thriller	2019
Star Wars: Skywalker kora	Akció	2019
Star Wars: Skywalker kora	Kaland	2019
Star Wars: Skywalker kora	Sci-Fi	2019
Jumanji: A következő szint	Fantasy	2019
Jumanji: A következő szint	Kaland	2019
Jumanji: A következő szint	Vígjáték	2019


Aquaman	Akció	2018
Pókember: Irány a Pókverzum!	Animációs	2018
Zöld könyv – Útmutató az élethez	Dráma	2018
Venom	Akció	2018
A Hangya és a Darázs	Akció	2018


Holtak napja: Vérvonal	Horror	2017
Bright	Fantasy	2017
Star Wars: Az utolsó Jedik	Sci-Fi		2017
Jumanji: Vár a dzsungel	Kaland	2017
Fűrész – Újra játékban	Horror	2017


A számolás joga	Dráma	2016
Doctor Strange	Akció	2016
Vaiana	Animációs	2016
Sötét bűnök	Dráma	2016
31	Horror	2016


Aljas nyolcas	Dráma	2015
A visszatérő	Dráma	2015
Star Wars: Az ébredő Erő	Sci-Fi	2015
Három király tesó	Vígjáték	2015
Parajelenségek: Szellemdimenzió	Horror	2015









	





